"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05340","LinDA","Pro-inflammatory","Pro-survival","0.808661654220895","BH",0.996653130435666
"ko00564","LinDA","Pro-inflammatory","Pro-survival","0.896027890282554","BH",0.996653130435666
"ko00680","LinDA","Pro-inflammatory","Pro-survival","0.927941321629399","BH",0.996653130435666
"ko00562","LinDA","Pro-inflammatory","Pro-survival","0.470986072935491","BH",0.996653130435666
"ko03030","LinDA","Pro-inflammatory","Pro-survival","0.830523926308861","BH",0.996653130435666
"ko00561","LinDA","Pro-inflammatory","Pro-survival","0.461928076404702","BH",0.996653130435666
"ko00440","LinDA","Pro-inflammatory","Pro-survival","0.233305326270171","BH",0.7314450012035
"ko00250","LinDA","Pro-inflammatory","Pro-survival","0.918990581441797","BH",0.996653130435666
"ko00740","LinDA","Pro-inflammatory","Pro-survival","0.553819284827166","BH",0.996653130435666
"ko04940","LinDA","Pro-inflammatory","Pro-survival","0.984777147032658","BH",0.996653130435666
"ko00010","LinDA","Pro-inflammatory","Pro-survival","0.680359828920827","BH",0.996653130435666
"ko05412","LinDA","Pro-inflammatory","Pro-survival","0.0129520250679474","BH",0.104695535965908
"ko00195","LinDA","Pro-inflammatory","Pro-survival","0.854187492014665","BH",0.996653130435666
"ko03450","LinDA","Pro-inflammatory","Pro-survival","0.0969736797739544","BH",0.546497270661971
"ko00760","LinDA","Pro-inflammatory","Pro-survival","0.710233163383146","BH",0.996653130435666
"ko00920","LinDA","Pro-inflammatory","Pro-survival","0.354373806479216","BH",0.950875637578996
"ko00311","LinDA","Pro-inflammatory","Pro-survival","0.0985948684183969","BH",0.546497270661971
"ko00310","LinDA","Pro-inflammatory","Pro-survival","0.758927990331784","BH",0.996653130435666
"ko04146","LinDA","Pro-inflammatory","Pro-survival","0.0914462377843142","BH",0.53759303424718
"ko00600","LinDA","Pro-inflammatory","Pro-survival","0.745186580565933","BH",0.996653130435666
"ko04141","LinDA","Pro-inflammatory","Pro-survival","0.27652663463842","BH",0.810818091616323
"ko04142","LinDA","Pro-inflammatory","Pro-survival","0.704632678703659","BH",0.996653130435666
"ko00604","LinDA","Pro-inflammatory","Pro-survival","0.988129407971904","BH",0.996653130435666
"ko04260","LinDA","Pro-inflammatory","Pro-survival","0.000263912338414578","BH",0.00882433491414404
"ko05142","LinDA","Pro-inflammatory","Pro-survival","0.144959635793527","BH",0.653733008207891
"ko00513","LinDA","Pro-inflammatory","Pro-survival","0.00982471128888818","BH",0.104695535965908
"ko04973","LinDA","Pro-inflammatory","Pro-survival","0.208887987523778","BH",0.710952097887946
"ko00510","LinDA","Pro-inflammatory","Pro-survival","0.0325115768417902","BH",0.225258782403832
