"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05340","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00452752377879994,"BH",0.0452119292943344
"ko00564","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00981995010929042,"BH",0.0507113851101792
"ko00680","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0269855591530988,"BH",0.0799266942855139
"ko00562","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0480460021897469,"BH",0.108382842148964
"ko03030","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0103885209424779,"BH",0.051676232380531
"ko00561","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00530225048993766,"BH",0.0454489886450879
"ko00440","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00444659241281814,"BH",0.0452119292943344
"ko00250","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0159399660851397,"BH",0.0595952745909682
"ko00740","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.157309559076099,"BH",0.245124935427817
"ko04940","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0127498443133172,"BH",0.0549962004294695
"ko00010","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0019965804034094,"BH",0.0407722735012026
"ko05412","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0343652544008749,"BH",0.0878138917270108
"ko00195","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0154266926173905,"BH",0.0595952745909682
"ko03450","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.301108754474039,"BH",0.397381621550773
"ko00760","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0201334596426713,"BH",0.0666725746358102
"ko00920","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.138256667001001,"BH",0.230229986250594
"ko00311","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.160954543284736,"BH",0.248806226272819
"ko00310","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0400130563429999,"BH",0.0958337398832343
"ko04146","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.414470275922107,"BH",0.50730115791097
"ko00600","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0284631376744449,"BH",0.0801888889790311
"ko04141","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0605519676019386,"BH",0.124868901565252
"ko04142","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0937772646733414,"BH",0.17082431311388
"ko00604","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.191934990065862,"BH",0.276843033998344
"ko04260","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00149142441974305,"BH",0.0368815120627325
"ko05142","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.337113400278213,"BH",0.435008297621729
"ko00513","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0231239063056011,"BH",0.0703475420221628
"ko04973","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.60314565176615,"BH",0.663383607673452
"ko00510","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.833056327041786,"BH",0.855094854212204
"ko05110","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.488179994977926,"BH",0.562058866621469
"ko04974","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.141421840548648,"BH",0.233265111580778
"ko00450","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0539197656160481,"BH",0.116312098582608
"ko01051","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0287274628043436,"BH",0.0801888889790311
"ko00565","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.619327964043812,"BH",0.676899295912674
"ko00524","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0144289200602392,"BH",0.0577156802409567
"ko00300","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0174409102623681,"BH",0.0616636391550935
"ko05222","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00150795334251217,"BH",0.0368815120627325
"ko05416","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00151263917875322,"BH",0.0368815120627325
