"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05340","edgeR","Pro-inflammatory","Pro-survival","0.821182978392987","BH",0.994105367800753
"ko00564","edgeR","Pro-inflammatory","Pro-survival","0.885511418692528","BH",0.994105367800753
"ko00680","edgeR","Pro-inflammatory","Pro-survival","0.950205243031826","BH",0.994105367800753
"ko00562","edgeR","Pro-inflammatory","Pro-survival","0.874648661756097","BH",0.994105367800753
"ko03030","edgeR","Pro-inflammatory","Pro-survival","0.968054120998077","BH",0.994105367800753
"ko00561","edgeR","Pro-inflammatory","Pro-survival","0.687282330499117","BH",0.994105367800753
"ko00440","edgeR","Pro-inflammatory","Pro-survival","0.515151553989648","BH",0.994105367800753
"ko00250","edgeR","Pro-inflammatory","Pro-survival","0.957425789543603","BH",0.994105367800753
"ko00740","edgeR","Pro-inflammatory","Pro-survival","0.884861692574189","BH",0.994105367800753
"ko04940","edgeR","Pro-inflammatory","Pro-survival","0.922826025698529","BH",0.994105367800753
"ko00010","edgeR","Pro-inflammatory","Pro-survival","0.794784983932997","BH",0.994105367800753
"ko05412","edgeR","Pro-inflammatory","Pro-survival","0.080486152309301","BH",0.520477118266813
"ko00195","edgeR","Pro-inflammatory","Pro-survival","0.966391222443442","BH",0.994105367800753
"ko03450","edgeR","Pro-inflammatory","Pro-survival","0.00494987669173076","BH",0.0685911484425548
"ko00760","edgeR","Pro-inflammatory","Pro-survival","0.978945095413919","BH",0.994105367800753
"ko00920","edgeR","Pro-inflammatory","Pro-survival","0.788485408190343","BH",0.994105367800753
"ko00311","edgeR","Pro-inflammatory","Pro-survival","0.532212597705876","BH",0.994105367800753
"ko00310","edgeR","Pro-inflammatory","Pro-survival","0.799538862205158","BH",0.994105367800753
"ko04146","edgeR","Pro-inflammatory","Pro-survival","0.601007847408938","BH",0.994105367800753
"ko00600","edgeR","Pro-inflammatory","Pro-survival","0.841198769601032","BH",0.994105367800753
"ko04141","edgeR","Pro-inflammatory","Pro-survival","0.819485362035972","BH",0.994105367800753
"ko04142","edgeR","Pro-inflammatory","Pro-survival","0.585151898891121","BH",0.994105367800753
"ko00604","edgeR","Pro-inflammatory","Pro-survival","0.753696009936436","BH",0.994105367800753
