"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05340","limma voom","Pro-inflammatory","Pro-survival","0.27358460640935","BH",0.463622485729128
"ko00564","limma voom","Pro-inflammatory","Pro-survival","0.203636927206012","BH",0.420508895043386
"ko00680","limma voom","Pro-inflammatory","Pro-survival","0.692339515286462","BH",0.790081564503374
"ko00562","limma voom","Pro-inflammatory","Pro-survival","0.629721964463501","BH",0.746377065541123
"ko03030","limma voom","Pro-inflammatory","Pro-survival","0.571884468204313","BH",0.725134554455142
"ko00561","limma voom","Pro-inflammatory","Pro-survival","0.0509801918888628","BH",0.197803144528788
"ko00440","limma voom","Pro-inflammatory","Pro-survival","0.0061574933500765","BH",0.0545758653118521
"ko00250","limma voom","Pro-inflammatory","Pro-survival","0.124019838559152","BH",0.312465567278902
"ko00740","limma voom","Pro-inflammatory","Pro-survival","0.375768117626502","BH",0.559778672442012
"ko04940","limma voom","Pro-inflammatory","Pro-survival","0.126325603574414","BH",0.31419444991585
"ko00010","limma voom","Pro-inflammatory","Pro-survival","0.113593722938178","BH",0.306071975694535
"ko05412","limma voom","Pro-inflammatory","Pro-survival","0.0119352068902904","BH",0.0765628044554084
"ko00195","limma voom","Pro-inflammatory","Pro-survival","0.567567243191111","BH",0.725134554455142
"ko03450","limma voom","Pro-inflammatory","Pro-survival","0.138506600605163","BH",0.321435447467652
"ko00760","limma voom","Pro-inflammatory","Pro-survival","0.620708027744297","BH",0.743317020878973
"ko00920","limma voom","Pro-inflammatory","Pro-survival","0.0325327331700063","BH",0.146775586860028
"ko00311","limma voom","Pro-inflammatory","Pro-survival","0.0796675252174573","BH",0.239967240255329
"ko00310","limma voom","Pro-inflammatory","Pro-survival","0.294533094437535","BH",0.476161836007348
"ko04146","limma voom","Pro-inflammatory","Pro-survival","0.0136894893747863","BH",0.0812919706172685
"ko00600","limma voom","Pro-inflammatory","Pro-survival","0.267663620776699","BH",0.463622485729128
"ko04141","limma voom","Pro-inflammatory","Pro-survival","0.140835118735827","BH",0.321435447467652
"ko04142","limma voom","Pro-inflammatory","Pro-survival","0.274827762159019","BH",0.463622485729128
"ko00604","limma voom","Pro-inflammatory","Pro-survival","0.568413355006101","BH",0.725134554455142
"ko04260","limma voom","Pro-inflammatory","Pro-survival","0.000124620722070316","BH",0.00805880669388044
"ko05142","limma voom","Pro-inflammatory","Pro-survival","0.247223597313582","BH",0.461684204999603
"ko00513","limma voom","Pro-inflammatory","Pro-survival","0.00714066722618658","BH",0.0577203934116749
"ko04973","limma voom","Pro-inflammatory","Pro-survival","0.383463839890241","BH",0.563575643475051
"ko00510","limma voom","Pro-inflammatory","Pro-survival","0.0804013949309093","BH",0.239967240255329
"ko05110","limma voom","Pro-inflammatory","Pro-survival","0.306249984460808","BH",0.486059322261495
"ko04974","limma voom","Pro-inflammatory","Pro-survival","0.0260347471790102","BH",0.123188803725073
"ko00450","limma voom","Pro-inflammatory","Pro-survival","0.0104218665810603","BH",0.0765628044554084
"ko01051","limma voom","Pro-inflammatory","Pro-survival","0.132505511473852","BH",0.321435447467652
"ko00565","limma voom","Pro-inflammatory","Pro-survival","0.732843911400256","BH",0.821801842841905
"ko00524","limma voom","Pro-inflammatory","Pro-survival","0.479139432328602","BH",0.67720062688392
"ko00300","limma voom","Pro-inflammatory","Pro-survival","0.286737035538334","BH",0.475444315337067
"ko05222","limma voom","Pro-inflammatory","Pro-survival","0.000787141543196475","BH",0.0152705459380116
"ko05416","limma voom","Pro-inflammatory","Pro-survival","0.000787141543196475","BH",0.0152705459380116
"ko00260","limma voom","Pro-inflammatory","Pro-survival","0.829412111529397","BH",0.893921942426128
"ko00190","limma voom","Pro-inflammatory","Pro-survival","0.00309703777242559","BH",0.0429160948464689
"ko03440","limma voom","Pro-inflammatory","Pro-survival","0.496552601445225","BH",0.678388765354744
"ko00750","limma voom","Pro-inflammatory","Pro-survival","0.359640358489132","BH",0.545079918335091
"ko00950","limma voom","Pro-inflammatory","Pro-survival","0.140041497068376","BH",0.321435447467652
"ko00592","limma voom","Pro-inflammatory","Pro-survival","0.00448459914600317","BH",0.0458153620675943
"ko00591","limma voom","Pro-inflammatory","Pro-survival","0.00303428515027517","BH",0.0429160948464689
