"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko05340","metagenomeSeq","Pro-inflammatory","Pro-survival","0.850225913065619","BH",0.999057778157175
"ko00564","metagenomeSeq","Pro-inflammatory","Pro-survival","0.869228625706785","BH",0.999057778157175
"ko00680","metagenomeSeq","Pro-inflammatory","Pro-survival","0.972309624450033","BH",0.999057778157175
"ko00562","metagenomeSeq","Pro-inflammatory","Pro-survival","0.672907310593789","BH",0.999057778157175
"ko03030","metagenomeSeq","Pro-inflammatory","Pro-survival","0.995445344719168","BH",0.999057778157175
"ko00561","metagenomeSeq","Pro-inflammatory","Pro-survival","0.707080479476677","BH",0.999057778157175
"ko00440","metagenomeSeq","Pro-inflammatory","Pro-survival","0.56430438047891","BH",0.999057778157175
"ko00250","metagenomeSeq","Pro-inflammatory","Pro-survival","0.966654973174179","BH",0.999057778157175
"ko00740","metagenomeSeq","Pro-inflammatory","Pro-survival","0.836660348199177","BH",0.999057778157175
"ko04940","metagenomeSeq","Pro-inflammatory","Pro-survival","0.878695108794303","BH",0.999057778157175
"ko00010","metagenomeSeq","Pro-inflammatory","Pro-survival","0.757005145529179","BH",0.999057778157175
"ko05412","metagenomeSeq","Pro-inflammatory","Pro-survival",NA,"BH",NA
"ko00195","metagenomeSeq","Pro-inflammatory","Pro-survival","0.9898116815406","BH",0.999057778157175
"ko03450","metagenomeSeq","Pro-inflammatory","Pro-survival","0.660342614876225","BH",0.999057778157175
"ko00760","metagenomeSeq","Pro-inflammatory","Pro-survival","0.90715658497724","BH",0.999057778157175
"ko00920","metagenomeSeq","Pro-inflammatory","Pro-survival","0.687353433091141","BH",0.999057778157175
"ko00311","metagenomeSeq","Pro-inflammatory","Pro-survival","0.73633405628522","BH",0.999057778157175
"ko00310","metagenomeSeq","Pro-inflammatory","Pro-survival","0.846391042248661","BH",0.999057778157175
"ko04146","metagenomeSeq","Pro-inflammatory","Pro-survival","0.474004576747811","BH",0.999057778157175
"ko00600","metagenomeSeq","Pro-inflammatory","Pro-survival","0.80890513906081","BH",0.999057778157175
"ko04141","metagenomeSeq","Pro-inflammatory","Pro-survival","0.639058527663924","BH",0.999057778157175
"ko04142","metagenomeSeq","Pro-inflammatory","Pro-survival","0.812056969761025","BH",0.999057778157175
"ko00604","metagenomeSeq","Pro-inflammatory","Pro-survival","0.933394874903911","BH",0.999057778157175
"ko04260","metagenomeSeq","Pro-inflammatory","Pro-survival",NA,"BH",NA
"ko05142","metagenomeSeq","Pro-inflammatory","Pro-survival","0.730405740130017","BH",0.999057778157175
"ko00513","metagenomeSeq","Pro-inflammatory","Pro-survival","0.617406539129568","BH",0.999057778157175
"ko04973","metagenomeSeq","Pro-inflammatory","Pro-survival","0.736981757222307","BH",0.999057778157175
"ko00510","metagenomeSeq","Pro-inflammatory","Pro-survival","0.545932176157615","BH",0.999057778157175
"ko05110","metagenomeSeq","Pro-inflammatory","Pro-survival","0.168553967873916","BH",0.999057778157175
"ko04974","metagenomeSeq","Pro-inflammatory","Pro-survival","0.511589535227156","BH",0.999057778157175
"ko00450","metagenomeSeq","Pro-inflammatory","Pro-survival","0.708274206210601","BH",0.999057778157175
"ko01051","metagenomeSeq","Pro-inflammatory","Pro-survival","0.761331576655959","BH",0.999057778157175
"ko00565","metagenomeSeq","Pro-inflammatory","Pro-survival","0.962905369540988","BH",0.999057778157175
"ko00524","metagenomeSeq","Pro-inflammatory","Pro-survival","0.931126157250646","BH",0.999057778157175
"ko00300","metagenomeSeq","Pro-inflammatory","Pro-survival","0.962064567074118","BH",0.999057778157175
"ko05222","metagenomeSeq","Pro-inflammatory","Pro-survival","0.401045597816254","BH",0.999057778157175
"ko05416","metagenomeSeq","Pro-inflammatory","Pro-survival","0.401045597816254","BH",0.999057778157175
"ko00260","metagenomeSeq","Pro-inflammatory","Pro-survival","0.940481770580273","BH",0.999057778157175
"ko00190","metagenomeSeq","Pro-inflammatory","Pro-survival","0.480343099582216","BH",0.999057778157175
"ko03440","metagenomeSeq","Pro-inflammatory","Pro-survival","0.999057778157175","BH",0.999057778157175
"ko00750","metagenomeSeq","Pro-inflammatory","Pro-survival","0.778234086521993","BH",0.999057778157175
"ko00950","metagenomeSeq","Pro-inflammatory","Pro-survival","0.601697764125324","BH",0.999057778157175
"ko00592","metagenomeSeq","Pro-inflammatory","Pro-survival","0.341073501036034","BH",0.999057778157175
"ko00591","metagenomeSeq","Pro-inflammatory","Pro-survival","0.480392679391376","BH",0.999057778157175
"ko00590","metagenomeSeq","Pro-inflammatory","Pro-survival","0.527752172488895","BH",0.999057778157175
"ko00061","metagenomeSeq","Pro-inflammatory","Pro-survival","0.948474901123382","BH",0.999057778157175
"ko03070","metagenomeSeq","Pro-inflammatory","Pro-survival","0.915448750984026","BH",0.999057778157175
"ko00253","metagenomeSeq","Pro-inflammatory","Pro-survival","0.810483207870296","BH",0.999057778157175
"ko03060","metagenomeSeq","Pro-inflammatory","Pro-survival","0.933455507356529","BH",0.999057778157175
"ko00380","metagenomeSeq","Pro-inflammatory","Pro-survival","0.829241948053158","BH",0.999057778157175
"ko00500","metagenomeSeq","Pro-inflammatory","Pro-survival","0.642675532783969","BH",0.999057778157175
"ko05120","metagenomeSeq","Pro-inflammatory","Pro-survival","0.906409195757953","BH",0.999057778157175
"ko04964","metagenomeSeq","Pro-inflammatory","Pro-survival","0.528855858833497","BH",0.999057778157175
"ko04962","metagenomeSeq","Pro-inflammatory","Pro-survival","0.997809235392499","BH",0.999057778157175
"ko00625","metagenomeSeq","Pro-inflammatory","Pro-survival","0.636569539403965","BH",0.999057778157175
"ko00624","metagenomeSeq","Pro-inflammatory","Pro-survival","0.162165258637311","BH",0.999057778157175
"ko00627","metagenomeSeq","Pro-inflammatory","Pro-survival","0.980345633379523","BH",0.999057778157175
"ko00626","metagenomeSeq","Pro-inflammatory","Pro-survival","0.956513967604046","BH",0.999057778157175
"ko00621","metagenomeSeq","Pro-inflammatory","Pro-survival","0.781366714007853","BH",0.999057778157175
"ko00620","metagenomeSeq","Pro-inflammatory","Pro-survival","0.755932962642792","BH",0.999057778157175
"ko00623","metagenomeSeq","Pro-inflammatory","Pro-survival","0.491501644400883","BH",0.999057778157175
"ko00622","metagenomeSeq","Pro-inflammatory","Pro-survival","0.733057381590192","BH",0.999057778157175
"ko00270","metagenomeSeq","Pro-inflammatory","Pro-survival","0.88624350763405","BH",0.999057778157175
"ko00940","metagenomeSeq","Pro-inflammatory","Pro-survival","0.976968080276881","BH",0.999057778157175
"ko00941","metagenomeSeq","Pro-inflammatory","Pro-survival","0.693214831286854","BH",0.999057778157175
"ko01053","metagenomeSeq","Pro-inflammatory","Pro-survival","0.686906230063304","BH",0.999057778157175
"ko00100","metagenomeSeq","Pro-inflammatory","Pro-survival","0.0484852128901971","BH",0.999057778157175
"ko05016","metagenomeSeq","Pro-inflammatory","Pro-survival","0.298961684257796","BH",0.999057778157175
"ko00071","metagenomeSeq","Pro-inflammatory","Pro-survival","0.957058196829054","BH",0.999057778157175
"ko00072","metagenomeSeq","Pro-inflammatory","Pro-survival","0.686321960155188","BH",0.999057778157175
"ko05219","metagenomeSeq","Pro-inflammatory","Pro-survival","0.432732667391183","BH",0.999057778157175
"ko05215","metagenomeSeq","Pro-inflammatory","Pro-survival","0.908118121225689","BH",0.999057778157175
"ko05211","metagenomeSeq","Pro-inflammatory","Pro-survival","0.760701244508954","BH",0.999057778157175
"ko05210","metagenomeSeq","Pro-inflammatory","Pro-survival","0.401045597816254","BH",0.999057778157175
"ko01055","metagenomeSeq","Pro-inflammatory","Pro-survival","0.534955789595347","BH",0.999057778157175
"ko04910","metagenomeSeq","Pro-inflammatory","Pro-survival","0.793677765126633","BH",0.999057778157175
"ko00531","metagenomeSeq","Pro-inflammatory","Pro-survival","0.806767646583187","BH",0.999057778157175
"ko00360","metagenomeSeq","Pro-inflammatory","Pro-survival","0.576609213783817","BH",0.999057778157175
"ko00633","metagenomeSeq","Pro-inflammatory","Pro-survival","0.950705270793846","BH",0.999057778157175
"ko00630","metagenomeSeq","Pro-inflammatory","Pro-survival","0.995851084733595","BH",0.999057778157175
"ko00363","metagenomeSeq","Pro-inflammatory","Pro-survival","0.479203919156536","BH",0.999057778157175
"ko00364","metagenomeSeq","Pro-inflammatory","Pro-survival","0.56268284969516","BH",0.999057778157175
"ko04115","metagenomeSeq","Pro-inflammatory","Pro-survival","0.401045597816254","BH",0.999057778157175
"ko00121","metagenomeSeq","Pro-inflammatory","Pro-survival","0.980828407708801","BH",0.999057778157175
"ko04914","metagenomeSeq","Pro-inflammatory","Pro-survival","0.908118121225689","BH",0.999057778157175
"ko00430","metagenomeSeq","Pro-inflammatory","Pro-survival","0.938061011032287","BH",0.999057778157175
"ko02010","metagenomeSeq","Pro-inflammatory","Pro-survival","0.717441021477613","BH",0.999057778157175
"ko00130","metagenomeSeq","Pro-inflammatory","Pro-survival","0.405078219284827","BH",0.999057778157175
"ko03050","metagenomeSeq","Pro-inflammatory","Pro-survival","0.533030733172465","BH",0.999057778157175
"ko00361","metagenomeSeq","Pro-inflammatory","Pro-survival","0.700492782180204","BH",0.999057778157175
"ko00040","metagenomeSeq","Pro-inflammatory","Pro-survival","0.714449782016187","BH",0.999057778157175
"ko00730","metagenomeSeq","Pro-inflammatory","Pro-survival","0.728163524433386","BH",0.999057778157175
"ko00362","metagenomeSeq","Pro-inflammatory","Pro-survival","0.71959438295807","BH",0.999057778157175
"ko01040","metagenomeSeq","Pro-inflammatory","Pro-survival","0.934689902022645","BH",0.999057778157175
"ko00603","metagenomeSeq","Pro-inflammatory","Pro-survival","0.78225965446865","BH",0.999057778157175
"ko03018","metagenomeSeq","Pro-inflammatory","Pro-survival","0.863051176226586","BH",0.999057778157175
"ko00281","metagenomeSeq","Pro-inflammatory","Pro-survival","0.474993587618322","BH",0.999057778157175
"ko00280","metagenomeSeq","Pro-inflammatory","Pro-survival","0.947266347170572","BH",0.999057778157175
"ko03013","metagenomeSeq","Pro-inflammatory","Pro-survival","0.886244753585443","BH",0.999057778157175
"ko04626","metagenomeSeq","Pro-inflammatory","Pro-survival","0.947584679964258","BH",0.999057778157175
"ko05200","metagenomeSeq","Pro-inflammatory","Pro-survival","0.567260748503278","BH",0.999057778157175
"ko00601","metagenomeSeq","Pro-inflammatory","Pro-survival","0.00199356470482215","BH",0.374790164506564
"ko00312","metagenomeSeq","Pro-inflammatory","Pro-survival","0.768985407374839","BH",0.999057778157175
"ko05020","metagenomeSeq","Pro-inflammatory","Pro-survival","0.927195625906047","BH",0.999057778157175
"ko05143","metagenomeSeq","Pro-inflammatory","Pro-survival","0.719522056879605","BH",0.999057778157175
"ko00523","metagenomeSeq","Pro-inflammatory","Pro-survival","0.765029687889993","BH",0.999057778157175
"ko00520","metagenomeSeq","Pro-inflammatory","Pro-survival","0.763751293462921","BH",0.999057778157175
"ko00521","metagenomeSeq","Pro-inflammatory","Pro-survival","0.774917600060825","BH",0.999057778157175
"ko05146","metagenomeSeq","Pro-inflammatory","Pro-survival","0.314680577516363","BH",0.999057778157175
"ko05145","metagenomeSeq","Pro-inflammatory","Pro-survival","0.401045597816254","BH",0.999057778157175
"ko00052","metagenomeSeq","Pro-inflammatory","Pro-survival","0.611697216065692","BH",0.999057778157175
"ko00053","metagenomeSeq","Pro-inflammatory","Pro-survival","0.896750102643875","BH",0.999057778157175
"ko00051","metagenomeSeq","Pro-inflammatory","Pro-survival","0.670890822450488","BH",0.999057778157175
"ko00401","metagenomeSeq","Pro-inflammatory","Pro-survival","0.833664813661297","BH",0.999057778157175
"ko00400","metagenomeSeq","Pro-inflammatory","Pro-survival","0.994773944089037","BH",0.999057778157175
"ko04020","metagenomeSeq","Pro-inflammatory","Pro-survival",NA,"BH",NA
"ko00350","metagenomeSeq","Pro-inflammatory","Pro-survival","0.997666617373758","BH",0.999057778157175
"ko00480","metagenomeSeq","Pro-inflammatory","Pro-survival","0.886931921637787","BH",0.999057778157175
"ko00643","metagenomeSeq","Pro-inflammatory","Pro-survival","0.912546288089023","BH",0.999057778157175
"ko00642","metagenomeSeq","Pro-inflammatory","Pro-survival","0.969462503983561","BH",0.999057778157175
"ko00640","metagenomeSeq","Pro-inflammatory","Pro-survival","0.845706887564237","BH",0.999057778157175
"ko00720","metagenomeSeq","Pro-inflammatory","Pro-survival","0.600356619238991","BH",0.999057778157175
"ko00960","metagenomeSeq","Pro-inflammatory","Pro-survival","0.665389476790557","BH",0.999057778157175
"ko02020","metagenomeSeq","Pro-inflammatory","Pro-survival","0.831147648486074","BH",0.999057778157175
"ko00120","metagenomeSeq","Pro-inflammatory","Pro-survival","0.978574742655827","BH",0.999057778157175
"ko03008","metagenomeSeq","Pro-inflammatory","Pro-survival","0.927531607396378","BH",0.999057778157175
"ko05414","metagenomeSeq","Pro-inflammatory","Pro-survival",NA,"BH",NA
"ko00290","metagenomeSeq","Pro-inflammatory","Pro-survival","0.859196909408239","BH",0.999057778157175
"ko04614","metagenomeSeq","Pro-inflammatory","Pro-survival","0.229506784316177","BH",0.999057778157175
"ko03410","metagenomeSeq","Pro-inflammatory","Pro-survival","0.865064188671412","BH",0.999057778157175
"ko05010","metagenomeSeq","Pro-inflammatory","Pro-survival","0.371551105759601","BH",0.999057778157175
"ko05012","metagenomeSeq","Pro-inflammatory","Pro-survival","0.324138923835795","BH",0.999057778157175
"ko00980","metagenomeSeq","Pro-inflammatory","Pro-survival","0.972627517861681","BH",0.999057778157175
"ko00410","metagenomeSeq","Pro-inflammatory","Pro-survival","0.997365973942495","BH",0.999057778157175
"ko00983","metagenomeSeq","Pro-inflammatory","Pro-survival","0.818212639074287","BH",0.999057778157175
